sido,year,pop_change_year,pop_avg_year,patients_year,claims_year,amount_year,patients_per_1k,amount_per_capita
서울특별시,2023,-42338.0,9411668.5,416745847,1013658908,18210636565054.0,44279.698865296836,1934899.913342039
서울특별시,2024,-54206.0,9362506.166666666,411705671,1015247397,18491335061925.0,43973.87448093715,1975041.1623502804
부산광역시,2023,-24450.0,3305709.75,122432882,320621007,5900651952545.0,37036.79126698888,1784987.9144849302
부산광역시,2024,-26764.0,3279175.25,124295398,328135499,6212786301386.0,37904.4694241334,1894618.5634287158
대구광역시,2023,-11917.0,2368099.3333333335,92153343,225808826,4174604062177.0,38914.47529368841,1762850.064359772
대구광역시,2024,-11331.0,2367545.0833333335,92335859,229800659,4329810452721.0,39000.676122288554,1828818.586476477
인천광역시,2023,30096.0,2982062.3333333335,92461099,226365621,3945902653546.0,31005.756642466782,1323212.6670991785
인천광역시,2024,23600.0,3011741.0833333335,96749403,237805633,4309184823779.0,32124.077177617055,1430795.245854827
광주광역시,2023,-11813.0,1424697.1666666667,60274824,133659670,2764798403151.0,42307.11298529757,1940621.8162276123
광주광역시,2024,-10815.0,1413230.6666666667,59889668,133947664,2852650621196.0,42377.843484856916,2018531.5026629292
대전광역시,2023,-3856.0,1444698.1666666667,54552270,135524874,2386556416806.0,37760.323407807555,1651941.1956564398
대전광역시,2024,-3059.0,1440578.75,54295680,136693685,2506704032465.0,37690.185281436374,1740067.3392308473
울산광역시,2023,-7002.0,1105955.4166666667,35892693,88834489,1541752772695.0,32454.01438349119,1394046.0433222707
울산광역시,2024,-5612.0,1100133.0833333333,36618820,90863609,1627062709731.0,33285.809285043324,1478968.9850986968
세종특별자치시,2023,2934.0,385860.6666666667,10335404,24592723,351295708342.0,26785.326655044737,910421.1408142144
세종특별자치시,2024,4160.0,388654.5833333333,11053497,26440303,392226750815.0,28440.4133490428,1009191.111168765
경기도,2023,41389.0,13616756.333333334,410305648,987927716,16698808623819.0,30132.40730434358,1226342.6189790084
경기도,2024,63864.0,13664972.416666666,424197833,1028656239,18048176068984.0,31042.714179402326,1320761.983168828
강원특별자치도,2023,-5274.0,1530387.2857142857,46150835,111137042,1771786971080.0,30156.311040221288,1157737.6443329798
강원특별자치도,2024,-10041.0,1521965.3333333333,45827768,112321847,1849872219844.0,30110.914484254572,1215449.6422021003
충청북도,2023,-1589.0,1594051.4166666667,47661410,119352507,1884011281100.0,29899.543704597145,1181901.199297367
충청북도,2024,-2292.0,1591118.5833333333,48376133,121851373,1956978738126.0,30403.851420460334,1229938.961573941
충청남도,2023,7082.0,2126529.0,59943601,148767253,2430635879211.0,28188.470977823486,1143006.222445591
충청남도,2024,6455.0,2134405.5833333335,61677066,153800989,2557179949924.0,28896.60075929805,1198075.9279735454
전북특별자치도,2023,0.0,,59472383,152313444,2805981116726.0,,
전북특별자치도,2024,-16067.0,1745261.4166666667,59331567,153366152,2893146106809.0,33995.80511744731,1657715.044394161
전라남도,2023,-13480.0,1810293.75,55425122,142608885,2583269954637.0,30616.645502974312,1426989.3792855442
전라남도,2024,-15398.0,1794652.0833333333,56183741,144263585,2675262235549.0,31306.202200287196,1490685.7214240923
경상북도,2023,-22982.0,2575934.1666666665,68055142,170793654,2830293740751.0,26419.59677411528,1098744.5942430594
경상북도,2024,-22940.0,2541991.0,69739685,175175307,3023640048744.0,27435.06369613425,1189477.0865608887
경상남도,2023,-29335.0,3262634.5,102998495,256012942,4566760736957.0,31569.118453200932,1399715.701209253
경상남도,2024,-22778.0,3236460.9166666665,103091398,258507856,4729020055238.0,31853.126193835546,1461170.1413989475
제주특별자치도,2023,-2907.0,676620.8333333334,20235202,54512968,773488559190.0,29906.265079531247,1143163.9717320753
제주특별자치도,2024,-4884.0,672101.6666666666,20174228,54920299,811051001115.0,30016.631412410326,1206738.5655171217
