sido,pop_change_year_2023,pop_change_year_2024,pop_avg_year_2023,pop_avg_year_2024,patients_year_2023,patients_year_2024,claims_year_2023,claims_year_2024,amount_year_2023,amount_year_2024,patients_per_1k_2023,patients_per_1k_2024,amount_per_capita_2023,amount_per_capita_2024,delta_pop_change,delta_patients_per_1k,delta_amount_per_capita,delta_amount_total
강원특별자치도,-5274.0,-10041.0,1530387.2857142857,1521965.3333333333,46150835.0,45827768.0,111137042.0,112321847.0,1771786971080.0,1849872219844.0,30156.311040221288,30110.914484254572,1157737.6443329798,1215449.6422021003,-4767.0,-45.39655596671582,57711.997869120445,78085248764.0
경기도,41389.0,63864.0,13616756.333333334,13664972.416666666,410305648.0,424197833.0,987927716.0,1028656239.0,16698808623819.0,18048176068984.0,30132.40730434358,31042.714179402326,1226342.6189790084,1320761.983168828,22475.0,910.3068750587481,94419.36418981967,1349367445165.0
경상남도,-29335.0,-22778.0,3262634.5,3236460.9166666665,102998495.0,103091398.0,256012942.0,258507856.0,4566760736957.0,4729020055238.0,31569.118453200932,31853.126193835546,1399715.701209253,1461170.1413989475,6557.0,284.0077406346136,61454.44018969452,162259318281.0
경상북도,-22982.0,-22940.0,2575934.1666666665,2541991.0,68055142.0,69739685.0,170793654.0,175175307.0,2830293740751.0,3023640048744.0,26419.59677411528,27435.06369613425,1098744.5942430594,1189477.0865608887,42.0,1015.466922018968,90732.49231782928,193346307993.0
광주광역시,-11813.0,-10815.0,1424697.1666666667,1413230.6666666667,60274824.0,59889668.0,133659670.0,133947664.0,2764798403151.0,2852650621196.0,42307.11298529757,42377.843484856916,1940621.8162276123,2018531.5026629292,998.0,70.73049955934403,77909.68643531692,87852218045.0
대구광역시,-11917.0,-11331.0,2368099.3333333335,2367545.0833333335,92153343.0,92335859.0,225808826.0,229800659.0,4174604062177.0,4329810452721.0,38914.47529368841,39000.676122288554,1762850.064359772,1828818.586476477,586.0,86.20082860014372,65968.52211670508,155206390544.0
대전광역시,-3856.0,-3059.0,1444698.1666666667,1440578.75,54552270.0,54295680.0,135524874.0,136693685.0,2386556416806.0,2506704032465.0,37760.323407807555,37690.185281436374,1651941.1956564398,1740067.3392308473,797.0,-70.13812637118099,88126.14357440756,120147615659.0
부산광역시,-24450.0,-26764.0,3305709.75,3279175.25,122432882.0,124295398.0,320621007.0,328135499.0,5900651952545.0,6212786301386.0,37036.79126698888,37904.4694241334,1784987.9144849302,1894618.5634287158,-2314.0,867.6781571445172,109630.64894378558,312134348841.0
서울특별시,-42338.0,-54206.0,9411668.5,9362506.166666666,416745847.0,411705671.0,1013658908.0,1015247397.0,18210636565054.0,18491335061925.0,44279.698865296836,43973.87448093715,1934899.913342039,1975041.1623502804,-11868.0,-305.8243843596865,40141.24900824134,280698496871.0
세종특별자치시,2934.0,4160.0,385860.6666666667,388654.5833333333,10335404.0,11053497.0,24592723.0,26440303.0,351295708342.0,392226750815.0,26785.326655044737,28440.4133490428,910421.1408142144,1009191.111168765,1226.0,1655.0866939980624,98769.97035455063,40931042473.0
울산광역시,-7002.0,-5612.0,1105955.4166666667,1100133.0833333333,35892693.0,36618820.0,88834489.0,90863609.0,1541752772695.0,1627062709731.0,32454.01438349119,33285.809285043324,1394046.0433222707,1478968.9850986968,1390.0,831.7949015521335,84922.94177642604,85309937036.0
인천광역시,30096.0,23600.0,2982062.3333333335,3011741.0833333335,92461099.0,96749403.0,226365621.0,237805633.0,3945902653546.0,4309184823779.0,31005.756642466782,32124.077177617055,1323212.6670991785,1430795.245854827,-6496.0,1118.320535150273,107582.57875564857,363282170233.0
전라남도,-13480.0,-15398.0,1810293.75,1794652.0833333333,55425122.0,56183741.0,142608885.0,144263585.0,2583269954637.0,2675262235549.0,30616.645502974312,31306.202200287196,1426989.3792855442,1490685.7214240923,-1918.0,689.5566973128844,63696.34213854815,91992280912.0
전북특별자치도,0.0,-16067.0,,1745261.4166666667,59472383.0,59331567.0,152313444.0,153366152.0,2805981116726.0,2893146106809.0,,33995.80511744731,,1657715.044394161,-16067.0,,,87164990083.0
제주특별자치도,-2907.0,-4884.0,676620.8333333334,672101.6666666666,20235202.0,20174228.0,54512968.0,54920299.0,773488559190.0,811051001115.0,29906.265079531247,30016.631412410326,1143163.9717320753,1206738.5655171217,-1977.0,110.36633287907898,63574.59378504637,37562441925.0
충청남도,7082.0,6455.0,2126529.0,2134405.5833333335,59943601.0,61677066.0,148767253.0,153800989.0,2430635879211.0,2557179949924.0,28188.470977823486,28896.60075929805,1143006.222445591,1198075.9279735454,-627.0,708.1297814745631,55069.7055279545,126544070713.0
충청북도,-1589.0,-2292.0,1594051.4166666667,1591118.5833333333,47661410.0,48376133.0,119352507.0,121851373.0,1884011281100.0,1956978738126.0,29899.543704597145,30403.851420460334,1181901.199297367,1229938.961573941,-703.0,504.3077158631895,48037.76227657404,72967457026.0
